ENTREZ	Sample	CellType	Rep	Counts	SYMBOL	LENGTH
420	CD34_2	CD34	2	94	ART4	17958
421	CD34_1	CD34	1	213	ARVCF	46928
421	CD34_2	CD34	2	93	ARVCF	46928
427	CD34_1	CD34	1	4699	ASAH1	29007
427	CD34_2	CD34	2	1729	ASAH1	29007
429	CD34_1	CD34	1	0	ASCL1	2840
429	CD34_2	CD34	2	2	ASCL1	2840
430	CD34_1	CD34	1	34	ASCL2	2091
430	CD34_2	CD34	2	22	ASCL2	2091
432	CD34_1	CD34	1	63	ASGR1	6134
432	CD34_2	CD34	2	55	ASGR1	6134
433	CD34_1	CD34	1	38	ASGR2	14379
433	CD34_2	CD34	2	26	ASGR2	14379
434	CD34_1	CD34	1	1	ASIP	74776
434	CD34_2	CD34	2	2	ASIP	74776
435	CD34_1	CD34	1	408	ASL	76478
435	CD34_2	CD34	2	284	ASL	76478
440	CD34_1	CD34	1	157	ASNS	121309
440	CD34_2	CD34	2	111	ASNS	121309
443	CD34_1	CD34	1	5	ASPA	31032
443	CD34_2	CD34	2	4	ASPA	31032
444	CD34_1	CD34	1	1583	ASPH	214085
444	CD34_2	CD34	2	747	ASPH	214085
445	CD34_1	CD34	1	116	ASS1	56314
445	CD34_2	CD34	2	90	ASS1	56314
460	CD34_1	CD34	1	34	ASTN1	307672
460	CD34_2	CD34	2	68	ASTN1	307672
462	CD34_1	CD34	1	70	SERPINC1	13528
462	CD34_2	CD34	2	31	SERPINC1	13528
463	CD34_1	CD34	1	1244	ZFHX3	1108987
463	CD34_2	CD34	2	492	ZFHX3	1108987
466	CD34_1	CD34	1	538	ATF1	57453
466	CD34_2	CD34	2	393	ATF1	57453
467	CD34_1	CD34	1	2506	ATF3	55442
467	CD34_2	CD34	2	2130	ATF3	55442
468	CD34_1	CD34	1	7991	ATF4	2989
468	CD34_2	CD34	2	5307	ATF4	2989
471	CD34_1	CD34	1	1272	ATIC	37818
471	CD34_2	CD34	2	1392	ATIC	37818
472	CD34_1	CD34	1	1389	ATM	146059
472	CD34_2	CD34	2	739	ATM	146059
473	CD34_1	CD34	1	4173	RERE	496525
